Energy	Sweep0	Sweep1	Sum
1211.65002441	5269.75097656	5113.45214844	10383.203125	
1211.70007324	5352.37207031	5303.32617188	10655.6982422	
1211.75	5226.03466797	5221.33886719	10447.3735352	
1211.80004883	5294.12255859	5285.36621094	10579.4887695	
1211.85009766	5249.63671875	5148.20263672	10397.8393555	
1211.90002441	5240.43505859	5105.43408203	10345.8691406	
1211.95007324	5292.05371094	5234.84228516	10526.8959961	
1212.0	5188.98046875	5296.63476562	10485.6152344	
1212.05004883	5248.76171875	5376.22558594	10624.9873047	
1212.10009766	5294.32666016	5358.34326172	10652.6699219	
1212.15002441	5404.07177734	5384.74072266	10788.8125	
1212.20007324	5412.69726562	5392.72558594	10805.4228516	
1212.25	5377.85791016	5361.11083984	10738.96875	
1212.30004883	5426.02148438	5480.99414062	10907.015625	
1212.35009766	5419.29931641	5550.48681641	10969.7861328	
1212.40002441	5388.29345703	5479.49804688	10867.7915039	
1212.45007324	5502.09228516	5467.07910156	10969.1713867	
1212.5	5539.31689453	5549.91992188	11089.2368164	
1212.55004883	5532.86083984	5586.09277344	11118.9536133	
1212.60009766	5598.04785156	5543.36328125	11141.4111328	
1212.65002441	5636.30078125	5553.55273438	11189.8535156	
1212.70007324	5709.11181641	5644.96728516	11354.0791016	
1212.75	5743.31103516	5683.26220703	11426.5732422	
1212.80004883	5710.52783203	5585.89013672	11296.4179688	
1212.85009766	5804.66357422	5751.27783203	11555.9414062	
1212.90002441	5834.13720703	5758.65136719	11592.7885742	
1212.95007324	5819.89160156	5709.72412109	11529.6157227	
1213.0	5742.90234375	5789.87402344	11532.7763672	
1213.05004883	5866.93505859	5863.67675781	11730.6118164	
1213.10009766	5806.33203125	5941.86621094	11748.1982422	
1213.15002441	5885.05957031	5904.33935547	11789.3989258	
1213.20007324	5996.43017578	5954.69824219	11951.128418	
1213.25	5926.03466797	5918.19140625	11844.2260742	
1213.30004883	5919.76318359	6094.08544922	12013.8486328	
1213.35009766	6052.36914062	6089.91650391	12142.2856445	
1213.40002441	5990.40527344	6058.85791016	12049.2631836	
1213.45007324	5947.58642578	6032.30029297	11979.8867188	
1213.5	6046.25878906	6119.12548828	12165.3842773	
1213.55004883	6002.36865234	6002.84277344	12005.2114258	
1213.60009766	5992.28271484	6069.32275391	12061.6054688	
1213.65002441	5982.53125	6034.44873047	12016.9799805	
1213.70007324	5979.57763672	6058.27294922	12037.8505859	
1213.75	5913.03466797	5905.99804688	11819.0327148	
1213.80004883	5918.296875	5859.36914062	11777.6660156	
1213.85009766	6014.28027344	5913.86669922	11928.1469727	
1213.90002441	6018.04296875	5838.55175781	11856.5947266	
1213.95007324	5837.26904297	5926.82666016	11764.0957031	
1214.0	5857.15136719	5987.82421875	11844.9755859	
1214.05004883	5892.07617188	5969.52099609	11861.597168	
1214.10009766	5742.59130859	5921.99853516	11664.5898438	
1214.15002441	5773.57177734	5764.49853516	11538.0703125	
1214.20007324	5755.10009766	5681.80371094	11436.9038086	
1214.25	5709.43896484	5724.86474609	11434.3037109	
1214.30004883	5640.34521484	5715.85693359	11356.2021484	
1214.35009766	5526.78564453	5613.31103516	11140.0966797	
1214.40002441	5567.90527344	5625.73144531	11193.6367188	
1214.45007324	5494.02587891	5606.86816406	11100.894043	
1214.5	5477.25732422	5445.39501953	10922.6523438	
1214.55004883	5538.05078125	5422.58984375	10960.640625	
1214.60009766	5415.30957031	5275.12451172	10690.434082	
1214.65002441	5339.34228516	5412.23046875	10751.5727539	
1214.70007324	5375.875	5376.87011719	10752.7451172	
1214.75	5322.57958984	5378.76953125	10701.3491211	
1214.80004883	5313.30957031	5330.26220703	10643.5717773	
1214.85009766	5209.29589844	5132.03222656	10341.328125	
1214.90002441	5102.92822266	5129.67919922	10232.6074219	
1214.95007324	5082.3515625	5153.21386719	10235.5654297	
1215.0	5091.53466797	5169.00732422	10260.5419922	
1215.05004883	5116.05957031	5109.59130859	10225.6508789	
1215.10009766	4999.69238281	5051.02246094	10050.7148438	
1215.15002441	4943.37304688	4983.39306641	9926.76611328	
1215.20007324	4936.36425781	4914.40820312	9850.77246094	
1215.25	4818.85644531	4771.47021484	9590.32666016	
1215.30004883	4828.80273438	4785.30371094	9614.10644531	
1215.35009766	4653.55566406	4871.37939453	9524.93505859	
1215.40002441	4716.5546875	4735.49560547	9452.05029297	
1215.45007324	4692.26416016	4681.37939453	9373.64355469	
1215.5	4591.12890625	4730.77832031	9321.90722656	
1215.55004883	4535.31445312	4653.25927734	9188.57373047	
1215.60009766	4569.04492188	4696.88964844	9265.93457031	
1215.65002441	4551.90625	4553.26953125	9105.17578125	
1215.70007324	4438.46777344	4494.31005859	8932.77783203	
1215.75	4366.82470703	4422.33544922	8789.16015625	
1215.80004883	4306.12792969	4405.60595703	8711.73388672	
1215.85009766	4238.93652344	4352.54541016	8591.48193359	
1215.90002441	4340.02880859	4414.13867188	8754.16748047	
1215.95007324	4425.63769531	4319.81689453	8745.45458984	
1216.0	4212.25048828	4264.48339844	8476.73388672	
1216.05004883	4343.30712891	4250.17333984	8593.48046875	
1216.10009766	4223.48730469	4222.50146484	8445.98876953	
1216.15002441	4234.56933594	4327.44384766	8562.01318359	
1216.20007324	4122.23046875	4144.69433594	8266.92480469	
1216.25	4140.42285156	4217.14208984	8357.56494141	
1216.30004883	4250.14404297	4203.31738281	8453.46142578	
1216.35009766	4122.39892578	4122.47119141	8244.87011719	
1216.40002441	3998.38964844	4079.59863281	8077.98828125	
1216.45007324	4016.43725586	4105.84277344	8122.2800293	
1216.5	3979.61328125	3981.91870117	7961.53198242	
1216.55004883	3997.89282227	4028.74462891	8026.63745117	
1216.60009766	3953.68286133	4090.31469727	8043.99755859	
1216.65002441	3945.58178711	3982.81176758	7928.39355469	
1216.70007324	4095.61450195	3903.14990234	7998.7644043	
1216.75	3971.12402344	3956.5859375	7927.70996094	
1216.80004883	3972.23779297	3972.76757812	7945.00537109	
1216.85009766	3936.81396484	3867.76342773	7804.57739258	
1216.90002441	3949.33154297	3904.87158203	7854.203125	
1216.95007324	3834.12329102	3918.35742188	7752.48071289	
1217.0	3843.15966797	3944.28686523	7787.4465332	
1217.05004883	3905.90673828	3926.47363281	7832.38037109	
1217.10009766	3942.99121094	3962.76782227	7905.7590332	
1217.15002441	3949.88769531	3887.1809082	7837.06860352	
1217.20007324	3876.08886719	3916.44628906	7792.53515625	
1217.25	3844.21386719	3874.05859375	7718.27246094	
1217.30004883	3819.11621094	3903.67578125	7722.79199219	
1217.35009766	3860.13964844	3819.43310547	7679.57275391	
1217.40002441	3959.48486328	3828.04663086	7787.53149414	
1217.45007324	3897.35864258	3877.90209961	7775.26074219	
1217.5	3891.62353516	3933.73779297	7825.36132812	
1217.55004883	3822.90600586	3834.42333984	7657.3293457	
1217.60009766	3801.99243164	3889.25512695	7691.24755859	
1217.65002441	3896.13256836	3960.83422852	7856.96679688	
1217.70007324	3968.60864258	3868.55297852	7837.16162109	
1217.75	3949.06396484	3935.75976562	7884.82373047	
1217.80004883	3981.22924805	3920.19506836	7901.42431641	
1217.85009766	3921.2199707	3963.48950195	7884.70947266	
1217.90002441	3903.56591797	3903.13964844	7806.70556641	
1217.95007324	4039.50512695	3946.35839844	7985.86352539	
1218.0	4031.76538086	4022.43481445	8054.20019531	
1218.05004883	3960.05029297	3991.59033203	7951.640625	
1218.10009766	3917.30712891	4041.05395508	7958.36108398	
1218.15002441	4007.03662109	4120.52001953	8127.55664062	
1218.20007324	4017.48364258	4019.95581055	8037.43945312	
1218.25	4070.19580078	4154.0390625	8224.23486328	
1218.30004883	4162.41992188	4282.26708984	8444.68701172	
1218.35009766	4214.40722656	4376.85742188	8591.26464844	
1218.40002441	4329.53955078	4350.47216797	8680.01171875	
1218.45007324	4384.66992188	4457.19091797	8841.86083984	
1218.5	4432.01806641	4453.22265625	8885.24072266	
1218.55004883	4522.68457031	4571.55712891	9094.24169922	
1218.60009766	4661.04833984	4618.71826172	9279.76660156	
1218.65002441	4736.05371094	4659.29199219	9395.34570312	
1218.70007324	4780.87792969	4693.70410156	9474.58203125	
1218.75	4994.98339844	4879.24902344	9874.23242188	
1218.80004883	5139.13769531	5159.98388672	10299.121582	
1218.85009766	5243.57324219	5191.68115234	10435.2543945	
1218.90002441	5225.04882812	5247.03759766	10472.0864258	
1218.95007324	5269.14257812	5345.37109375	10614.5136719	
1219.0	5527.39257812	5451.80566406	10979.1982422	
1219.05004883	5675.45849609	5713.3828125	11388.8413086	
1219.10009766	5787.30761719	5881.83935547	11669.1469727	
1219.15002441	5958.47265625	5930.8828125	11889.3554688	
1219.20007324	6131.4921875	6146.06591797	12277.5581055	
1219.25	6235.08203125	6310.91162109	12545.9936523	
1219.30004883	6258.16699219	6519.35107422	12777.5180664	
