Energy	Sweep0	
2141.45019531	2714.90307617	
2141.50024414	2754.12573242	
2141.55029297	2682.81298828	
2141.6003418	2669.93115234	
2141.65039062	2611.1940918	
2141.70019531	2636.69360352	
2141.75024414	2623.52954102	
2141.80029297	2579.4152832	
2141.8503418	2494.64575195	
2141.90039062	2538.81420898	
2141.95019531	2436.12695312	
2142.00024414	2454.69702148	
2142.05029297	2413.15576172	
2142.1003418	2397.43408203	
2142.15039062	2344.53442383	
2142.20019531	2313.59814453	
2142.25024414	2339.76806641	
2142.30029297	2270.43115234	
2142.3503418	2221.62988281	
2142.40039062	2228.80200195	
2142.45019531	2258.68310547	
2142.50024414	2182.44458008	
2142.55029297	2187.56713867	
2142.6003418	2082.39672852	
2142.65039062	2162.12255859	
2142.70019531	2048.79199219	
2142.75024414	2064.13916016	
2142.80029297	2136.59619141	
2142.8503418	2031.47900391	
2142.90039062	1984.63818359	
2142.95019531	2051.14624023	
2143.00024414	2015.46520996	
2143.05029297	1972.83666992	
2143.1003418	1950.3861084	
2143.15039062	1961.70812988	
2143.20019531	1904.55773926	
2143.25024414	1923.93591309	
2143.30029297	1882.25061035	
2143.3503418	1934.52233887	
2143.40039062	1879.16772461	
2143.45019531	1871.79431152	
2143.50024414	1882.08203125	
2143.55029297	1833.75561523	
2143.6003418	1845.70703125	
2143.65039062	1824.45874023	
2143.70019531	1826.15454102	
2143.75024414	1839.59887695	
2143.80029297	1806.65002441	
2143.8503418	1727.69836426	
2143.90039062	1735.69213867	
2143.95019531	1768.94702148	
2144.00024414	1820.79711914	
2144.05029297	1835.94824219	
2144.1003418	1720.8737793	
2144.15039062	1696.03637695	
2144.20019531	1716.13818359	
2144.25024414	1750.5045166	
2144.30029297	1665.14465332	
2144.3503418	1665.08520508	
2144.40039062	1660.31262207	
2144.45019531	1715.51428223	
2144.50024414	1719.13085938	
2144.55029297	1675.13085938	
2144.6003418	1736.4173584	
2144.65039062	1744.30383301	
2144.70019531	1644.48193359	
2144.75024414	1718.61743164	
2144.80029297	1729.84533691	
2144.8503418	1663.07653809	
2144.90039062	1590.37011719	
2144.95019531	1642.39025879	
2145.00024414	1695.43457031	
2145.05029297	1684.09753418	
2145.1003418	1591.62255859	
2145.15039062	1643.46936035	
2145.20019531	1643.9510498	
2145.25024414	1576.47033691	
2145.30029297	1546.74267578	
2145.3503418	1565.37487793	
2145.40039062	1640.84753418	
2145.45019531	1620.3503418	
2145.50024414	1597.03808594	
2145.55029297	1596.50463867	
2145.6003418	1594.86193848	
2145.65039062	1616.38208008	
2145.70019531	1589.16137695	
2145.75024414	1604.85070801	
2145.80029297	1598.30310059	
2145.8503418	1615.8717041	
2145.90039062	1560.81433105	
2145.95019531	1610.83312988	
2146.00024414	1610.31628418	
2146.05029297	1536.10351562	
2146.1003418	1553.35534668	
2146.15039062	1508.53027344	
2146.20019531	1592.4744873	
2146.25024414	1616.02185059	
2146.30029297	1541.0345459	
2146.3503418	1557.83337402	
2146.40039062	1484.21655273	
2146.45019531	1566.75341797	
2146.50024414	1582.13977051	
2146.55029297	1595.69555664	
2146.6003418	1566.17993164	
2146.65039062	1604.40576172	
2146.70019531	1530.92431641	
2146.75024414	1547.92114258	
2146.80029297	1530.12780762	
2146.8503418	1484.63659668	
2146.90039062	1514.61950684	
2146.95019531	1533.83312988	
2147.00024414	1555.15991211	
2147.05029297	1519.03430176	
2147.1003418	1496.25219727	
2147.15039062	1495.46533203	
2147.20019531	1570.93847656	
2147.25024414	1581.78588867	
2147.30029297	1517.52746582	
2147.3503418	1457.61181641	
2147.40039062	1494.15820312	
2147.45019531	1567.17700195	
2147.50024414	1603.01123047	
2147.55029297	1509.96765137	
2147.6003418	1483.6673584	
2147.65039062	1509.46252441	
2147.70019531	1547.59204102	
2147.75024414	1525.81787109	
2147.80029297	1533.47949219	
2147.8503418	1528.13110352	
2147.90039062	1481.41088867	
2147.95019531	1498.70275879	
2148.00024414	1494.41931152	
2148.05029297	1587.35791016	
2148.1003418	1577.49938965	
2148.15039062	1528.53051758	
2148.20019531	1542.58190918	
2148.25024414	1486.22241211	
2148.30029297	1517.44177246	
2148.3503418	1514.16052246	
2148.40039062	1500.69091797	
2148.45019531	1518.71936035	
2148.50024414	1517.82714844	
2148.55029297	1469.78381348	
2148.6003418	1445.56884766	
2148.65039062	1487.91650391	
2148.70019531	1457.81567383	
2148.75024414	1551.34387207	
2148.80029297	1533.64575195	
2148.8503418	1515.44775391	
2148.90039062	1497.08947754	
2148.95019531	1501.63391113	
2149.00024414	1530.35583496	
2149.05029297	1505.75427246	
2149.1003418	1485.94702148	
2149.15039062	1440.77185059	
2149.20019531	1437.07043457	
2149.25024414	1427.48303223	
2149.30029297	1491.66320801	
2149.3503418	1488.60705566	
2149.40039062	1528.66918945	
2149.45019531	1500.34509277	
2149.50024414	1434.0703125	
2149.55029297	1532.21557617	
2149.6003418	1519.54638672	
2149.65039062	1526.28674316	
2149.70019531	1507.67993164	
2149.75024414	1443.90039062	
2149.80029297	1487.15869141	
2149.8503418	1512.17260742	
2149.90039062	1476.33740234	
2149.95019531	1511.62670898	
2150.00024414	1479.81640625	
2150.05029297	1491.7376709	
2150.1003418	1499.37536621	
2150.15039062	1449.28076172	
2150.20019531	1529.3034668	
2150.25024414	1467.93725586	
2150.30029297	1503.5111084	
2150.3503418	1513.22521973	
2150.40039062	1488.41772461	
2150.45019531	1461.21875	
2150.50024414	1499.29785156	
2150.55029297	1489.50720215	
2150.6003418	1467.61218262	
2150.65039062	1476.81958008	
2150.70019531	1469.4161377	
2150.75024414	1432.93078613	
2150.80029297	1459.60522461	
2150.8503418	1434.39099121	
2150.90039062	1464.87268066	
2150.95019531	1514.15869141	
2151.00024414	1490.29187012	
2151.05029297	1484.43737793	
2151.1003418	1513.02758789	
2151.15039062	1449.23193359	
2151.20019531	1448.23596191	
2151.25024414	1451.21374512	
2151.30029297	1466.95117188	
2151.3503418	1524.47387695	
2151.40039062	1597.16967773	
2151.45019531	1506.27722168	
2151.50024414	1441.19226074	
2151.55029297	1445.01342773	
2151.6003418	1453.7310791	
2151.65039062	1511.72607422	
2151.70019531	1489.79858398	
2151.75024414	1491.29260254	
2151.80029297	1523.30004883	
2151.8503418	1469.88134766	
2151.90039062	1467.13330078	
2151.95019531	1486.47119141	
2152.00024414	1506.57910156	
2152.05029297	1463.28710938	
2152.1003418	1472.36572266	
2152.15039062	1492.0982666	
2152.20019531	1480.34973145	
2152.25024414	1444.23132324	
2152.30029297	1457.25317383	
2152.3503418	1464.79370117	
2152.40039062	1465.17834473	
2152.45019531	1464.26550293	
2152.50024414	1468.94519043	
2152.55029297	1442.88330078	
2152.6003418	1466.12402344	
2152.65039062	1477.91955566	
2152.70019531	1410.84033203	
2152.75024414	1419.23510742	
2152.80029297	1431.44763184	
2152.8503418	1461.77758789	
2152.90039062	1457.31884766	
2152.95019531	1449.00610352	
2153.00024414	1501.2376709	
2153.05029297	1529.64807129	
2153.1003418	1463.74389648	
2153.15039062	1455.80908203	
2153.20019531	1446.29980469	
2153.25024414	1521.28198242	
2153.30029297	1456.09008789	
2153.3503418	1434.67199707	
2153.40039062	1441.14575195	
2153.45019531	1472.26855469	
2153.50024414	1446.18725586	
2153.55029297	1448.37683105	
2153.6003418	1472.12451172	
2153.65039062	1417.02575684	
2153.70019531	1458.16687012	
2153.75024414	1484.92504883	
2153.80029297	1518.4810791	
2153.8503418	1489.48181152	
2153.90039062	1497.98522949	
2153.95019531	1450.12414551	
2154.00024414	1419.83129883	
2154.05029297	1422.78674316	
2154.1003418	1515.36437988	
2154.15039062	1444.6640625	
2154.20019531	1471.67724609	
2154.25024414	1494.82092285	
2154.30029297	1413.9342041	
2154.3503418	1440.54040527	
2154.40039062	1414.17260742	
2154.45019531	1482.51745605	
2154.50024414	1427.17578125	
2154.55029297	1456.43994141	
2154.6003418	1447.30322266	
2154.65039062	1455.49304199	
2154.70019531	1413.73937988	
2154.75024414	1419.390625	
2154.80029297	1510.52148438	
2154.8503418	1503.71057129	
2154.90039062	1479.2331543	
2154.95019531	1413.37463379	
2155.00024414	1538.22924805	
2155.05029297	1443.07995605	
2155.1003418	1512.84545898	
2155.15039062	1478.28283691	
2155.20019531	1447.21887207	
2155.25024414	1406.63244629	
2155.30029297	1510.15454102	
2155.3503418	1491.8894043	
2155.40039062	1556.92443848	
2155.45019531	1493.43981934	
2155.50024414	1418.33740234	
2155.55029297	1484.55578613	
2155.6003418	1513.3170166	
2155.65039062	1492.22143555	
2155.70019531	1507.1842041	
2155.75024414	1567.79394531	
2155.80029297	1539.40734863	
2155.8503418	1502.46386719	
2155.90039062	1462.47241211	
2155.95019531	1413.17504883	
2155.95019531	1413.17504883	
